Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
29,Male,40 and above,Self-employed,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $10-$15,4,5,3,3,3,4,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
30,Female,From 20 to 29,Employed,"Less than $25,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,5,5,5,5,3,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
31,Female,From 20 to 29,Employed,"$25,000 - $50,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Pastries;Sandwiches,Between $10-$15,3,1,4,4,3,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
32,Female,From 20 to 29,Employed,"Less than $25,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee;Pastries,More than $20,4,3,3,3,2,3,4,In Store displays,Yes
33,Female,From 30 to 39,Employed,"$50,000 - $100,000",Monthly,Take away,Below 30 minutes,No,Coffee,Less than $10,2,3,5,5,3,5,5,Social Media,Yes
34,Female,From 20 to 29,Employed,"$100,000-$150,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,3,2,3,3,3,4,3,Social Media,No
35,Female,From 20 to 29,Employed,"Less than $25,000",Monthly,Take away,Below 30 minutes,No,Coffee,Between $10-$15,3,4,4,3,4,4,3,Social Media;Through friends and word of mouth;Billboards,Yes
36,Female,From 20 to 29,Student,"Less than $25,000",Weekly,Take away,Below 30 minutes,No,Coffee,More than $20,4,2,4,4,3,4,1,Social Media,No
37,Female,From 20 to 29,Self-employed,"$25,000 - $50,000",Weekly,Take away,Below 30 minutes,No,Cold drinks,Between $15-$20,3,3,4,4,5,5,2,Social Media,Yes
38,Male,Below 20,Student,"Less than $25,000",Rarely,Dine in,Between 1 hour to 2 hours,No,Coffee,More than $20,5,2,3,4,4,3,5,Starbucks Website/Apps;Social Media,Yes
39,Male,From 20 to 29,Employed,"$50,000 - $100,000",Never,Take away,Below 30 minutes,Yes,Cold drinks;Juices;Pastries,Between $10-$15,4,4,4,4,4,4,4,In Store displays,Yes
40,Male,From 30 to 39,Employed,"Less than $25,000",Never,Take away,Below 30 minutes,Yes,Coffee,More than $20,3,2,5,3,3,5,3,Starbucks Website/Apps;Social Media,Yes
41,Female,From 20 to 29,Employed,"More than $150,000",Rarely,Take away,Below 30 minutes,No,Coffee,Less than $10,4,4,4,4,4,4,4,Social Media,Yes
42,Male,From 20 to 29,Employed,"$100,000-$150,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,5,4,5,5,3,5,5,Starbucks Website/Apps;Social Media,Yes
43,Female,From 20 to 29,Employed,"$25,000 - $50,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,5,4,5,5,1,4,4,Social Media,Yes
44,Female,From 20 to 29,Employed,"$25,000 - $50,000",Rarely,Take away,Below 30 minutes,No,Coffee;Pastries,Between $15-$20,4,4,5,4,4,5,5,Starbucks Website/Apps;Social Media;Emails;Billboards,Yes
45,Female,Below 20,Student,"Less than $25,000",Never,never,Below 30 minutes,No,Coffee,More than $20,3,3,3,3,3,3,3,Social Media,Yes
46,Female,From 30 to 39,Student,"More than $150,000",Daily,Take away,Below 30 minutes,Yes,Coffee;Pastries,More than $20,5,3,4,3,4,4,4,Social Media,Yes
47,Female,Below 20,Student,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,No,Cold drinks,Between $15-$20,3,2,5,4,3,3,5,Through friends and word of mouth,Yes
48,Female,From 20 to 29,Self-employed,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,3,1,5,4,3,3,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
49,Female,From 20 to 29,Employed,"More than $150,000",Monthly,Take away,Below 30 minutes,No,Cold drinks,Between $10-$15,3,4,5,4,3,4,2,Social Media;Through friends and word of mouth,Yes
50,Male,Below 20,Student,"$50,000 - $100,000",Never,Drive-thru,Below 30 minutes,Yes,Cold drinks,Between $15-$20,3,3,3,3,3,3,3,Social Media,Yes
51,Male,40 and above,Employed,"$100,000-$150,000",Never,Dine in,Below 30 minutes,Yes,Coffee,More than $20,4,4,4,4,2,3,4,Social Media;In Store displays,Yes
52,Female,Below 20,Student,"Less than $25,000",Monthly,Dine in,Below 30 minutes,No,Cold drinks,Between $10-$15,3,3,2,2,2,4,3,Social Media;Through friends and word of mouth,No
53,Female,40 and above,Housewife,"$25,000 - $50,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks;Juices;Pastries,More than $20,5,4,3,5,3,5,5,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
54,Female,Below 20,Student,"Less than $25,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee,Less than $10,3,3,2,3,3,3,3,Social Media,Yes
55,Female,From 20 to 29,Employed,"$25,000 - $50,000",Monthly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,4,3,5,4,4,5,5,Social Media;Through friends and word of mouth,Yes
56,Female,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,3,4,3,2,3,4,Starbucks Website/Apps,Yes
57,Female,From 20 to 29,Employed,"More than $150,000",Rarely,Drive-thru,Below 30 minutes,No,Coffee;Cold drinks,More than $20,5,4,3,4,3,3,3,In Store displays,Yes
58,Male,Below 20,Student,"$100,000-$150,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,5,5,5,5,5,5,5,Through friends and word of mouth,Yes
59,Male,Below 20,Student,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,No,Coffee,More than $20,3,3,3,3,4,3,3,Social Media,Yes
60,Female,From 20 to 29,Student,"More than $150,000",Monthly,Drive-thru,Below 30 minutes,No,Cold drinks,Less than $10,4,3,4,4,3,4,3,Starbucks Website/Apps;Social Media,Yes
61,Male,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,2,1,5,1,4,3,3,Social Media,Yes
62,Female,From 20 to 29,Employed,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee;Cold drinks,More than $20,5,4,3,4,3,3,3,In Store displays,Yes
63,Male,From 30 to 39,Student,"$50,000 - $100,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Less than $10,3,3,4,3,3,3,3,Social Media,Yes
64,Male,From 20 to 29,Employed,"$25,000 - $50,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,2,3,5,4,4,5,Social Media;Through friends and word of mouth,Yes
65,Female,From 20 to 29,Employed,"$50,000 - $100,000",Never,Take away,Below 30 minutes,No,Coffee,Between $10-$15,3,1,5,3,4,4,5,Social Media,No
66,Female,From 20 to 29,Student,"Less than $25,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Less than $10,4,3,2,4,3,4,4,Through friends and word of mouth,No
67,Female,From 20 to 29,Self-employed,"Less than $25,000",Never,Dine in,Below 30 minutes,Yes,Coffee;Cold drinks;Pastries;Sandwiches,More than $20,4,3,4,5,4,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
68,Female,From 20 to 29,Self-employed,"$25,000 - $50,000",Daily,Never buy,Below 30 minutes,No,Never,Less than $10,3,3,3,3,3,3,3,Never hear,No
69,Female,From 20 to 29,Employed,"$100,000-$150,000",Daily,Dine in,Below 30 minutes,No,Coffee,Less than $10,2,1,5,4,4,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
70,Female,From 20 to 29,Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
71,Female,From 20 to 29,Employed,"$50,000 - $100,000",Monthly,Take away,Below 30 minutes,No,Coffee,Between $10-$15,4,3,4,5,5,5,3,Social Media;Through friends and word of mouth,Yes
72,Male,From 20 to 29,Employed,"More than $150,000",Weekly,Take away,Between 1 hour to 2 hours,Yes,Coffee;Sandwiches,Less than $10,5,1,3,3,2,3,3,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
73,Female,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,4,2,4,4,3,4,3,Through friends and word of mouth,Yes
74,Male,From 30 to 39,Employed,"$25,000 - $50,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,Less than $10,3,2,4,4,4,5,4,Starbucks Website/Apps;Social Media,Yes
75,Female,From 20 to 29,Housewife,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee;Cold drinks,Less than $10,3,2,3,3,3,5,4,Social Media,Yes
76,Male,From 20 to 29,Employed,"$100,000-$150,000",Daily,Take away,Below 30 minutes,Yes,Coffee,More than $20,3,3,4,5,4,4,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
77,Male,From 20 to 29,Employed,"Less than $25,000",Daily,Take away,Below 30 minutes,No,Coffee,Between $10-$15,4,2,5,3,2,4,4,Social Media;Emails;Through friends and word of mouth,Yes
78,Male,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,4,2,1,4,1,4,4,Social Media,Yes
79,Female,From 20 to 29,Student,"$25,000 - $50,000",Rarely,Take away,Below 30 minutes,No,Coffee,Between $15-$20,2,1,5,2,2,2,2,Social Media;Through friends and word of mouth,No
80,Female,Below 20,Student,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,No,Cold drinks,More than $20,2,2,3,2,2,2,2,"Social Media;Deal sites (fave, iprice, etc...)",No
81,Female,From 20 to 29,Employed,"$100,000-$150,000",Never,Drive-thru,More than 3 hours,Yes,Coffee,Between $10-$15,3,2,4,3,1,3,3,Starbucks Website/Apps,No
82,Male,From 20 to 29,Employed,"More than $150,000",Daily,Drive-thru,Below 30 minutes,No,Never buy any,Between $15-$20,1,1,1,3,3,3,3,Starbucks Website/Apps,No
83,Male,From 20 to 29,Self-employed,"$100,000-$150,000",Weekly,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,Between $15-$20,5,5,5,5,5,5,5,Starbucks Website/Apps,Yes
84,Male,From 30 to 39,Self-employed,"$25,000 - $50,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,4,4,2,4,3,4,5,Social Media,Yes
85,Male,From 20 to 29,Employed,"$100,000-$150,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,2,4,3,4,4,4,In Store displays,No
86,Male,From 30 to 39,Self-employed,"Less than $25,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Jaws chip ,Less than $10,4,3,4,4,3,4,4,Starbucks Website/Apps;Emails,Yes
87,Male,From 20 to 29,Self-employed,"$100,000-$150,000",Monthly,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,4,3,2,3,1,2,2,Social Media;Through friends and word of mouth,Yes
88,Female,From 20 to 29,Employed,"$50,000 - $100,000",Weekly,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,3,3,4,3,3,3,Social Media;Through friends and word of mouth,Yes
89,Female,From 20 to 29,Employed,"$25,000 - $50,000",Daily,Take away,Below 30 minutes,Yes,cake ,More than $20,4,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
90,Male,From 20 to 29,Self-employed,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,Yes,Cold drinks,Between $15-$20,5,5,5,5,4,5,5,Starbucks Website/Apps,Yes
91,Female,From 30 to 39,Employed,"$50,000 - $100,000",Weekly,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,4,4,5,4,4,5,4,Emails,Yes
92,Female,From 30 to 39,Employed,"$100,000-$150,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Pastries,Between $15-$20,4,3,4,5,5,4,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
93,Female,From 20 to 29,Employed,"$25,000 - $50,000",Rarely,Dine in,Below 30 minutes,No,Coffee,Less than $10,3,3,3,3,3,3,3,Social Media,No
94,Female,From 20 to 29,Employed,"More than $150,000",Never,Take away,Below 30 minutes,Yes,Coffee,Less than $10,5,3,5,5,4,4,1,Social Media;In Store displays,Yes
95,Male,From 20 to 29,Employed,"$50,000 - $100,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,Less than $10,3,1,3,3,1,3,2,Social Media;Through friends and word of mouth,Yes
96,Female,From 20 to 29,Employed,"$100,000-$150,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
97,Female,From 20 to 29,Self-employed,"More than $150,000",Weekly,Take away,Below 30 minutes,No,Cold drinks,Between $15-$20,3,3,1,4,3,4,4,Social Media;Through friends and word of mouth,Yes
98,Female,From 30 to 39,Employed,"Less than $25,000",Weekly,I dont like coffee,Below 30 minutes,No,Pastries,Less than $10,3,3,3,3,3,3,3,Social Media,Yes
99,Female,From 20 to 29,Employed,"Less than $25,000",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,4,3,4,3,3,4,4,Starbucks Website/Apps;Emails,Yes
100,Male,From 30 to 39,Employed,"Less than $25,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,2,3,4,4,4,4,Social Media,Yes
101,Male,From 20 to 29,Student,"Less than $25,000",Daily,Drive-thru,Between 30 minutes to 1 hour,No,Cold drinks,More than $20,3,2,3,3,3,3,3,Through friends and word of mouth,Yes
102,Male,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,More than $20,3,4,3,3,1,2,3,Through friends and word of mouth,Yes
103,Male,From 20 to 29,Self-employed,"More than $150,000",Monthly,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,4,2,4,4,3,3,3,Social Media;Emails,Yes
104,Male,From 30 to 39,Employed,"$25,000 - $50,000",Weekly,Dine in,Between 1 hour to 2 hours,No,Coffee;Pastries,More than $20,4,5,5,4,4,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
105,Male,Below 20,Student,"$50,000 - $100,000",Never,Drive-thru,Between 30 minutes to 1 hour,No,Pastries,Between $15-$20,4,4,4,4,4,4,4,Social Media;Emails,No
106,Male,40 and above,Employed,"Less than $25,000",Daily,Drive-thru,Between 30 minutes to 1 hour,No,Cold drinks,Between $10-$15,4,3,5,4,4,4,4,Starbucks Website/Apps,Yes
107,Male,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,No,Coffee,More than $20,3,3,3,3,3,3,3,Starbucks Website/Apps;Social Media,Yes
108,Female,Below 20,Student,"$50,000 - $100,000",Weekly,Never,Below 30 minutes,No,Cold drinks;Never,More than $20,3,2,2,2,3,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
109,Male,From 20 to 29,Student,"More than $150,000",Rarely,never,Below 30 minutes,No,never,More than $20,3,3,3,1,3,3,4,Through friends and word of mouth,No
110,Male,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Dine in,Below 30 minutes,No,Coffee;Pastries,Between $15-$20,3,3,3,3,3,3,2,Social Media,No
111,Male,From 20 to 29,Student,"$50,000 - $100,000",Rarely,Take away,Below 30 minutes,No,Cold drinks,Less than $10,4,2,3,5,4,4,2,Social Media,No
112,Female,From 20 to 29,Employed,"Less than $25,000",Monthly,Take away,Below 30 minutes,No,Cold drinks,Between $15-$20,5,4,4,4,4,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
113,Male,From 20 to 29,Student,"More than $150,000",Daily,Never ,Below 30 minutes,No,Nothing ,Between $15-$20,1,1,1,1,1,1,1,Billboards,No
114,Female,Below 20,Student,"$25,000 - $50,000",Weekly,Take away,Below 30 minutes,No,Cold drinks,Between $10-$15,3,4,5,5,5,4,4,Social Media,Yes
115,Male,40 and above,Self-employed,"$50,000 - $100,000",Never,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,2,2,1,2,2,3,2,In Store displays,No
116,Male,Below 20,Student,"$100,000-$150,000",Daily,Take away,Below 30 minutes,No,Cold drinks,Between $10-$15,5,5,5,5,5,5,5,Social Media;Through friends and word of mouth,Yes
117,Male,From 30 to 39,Student,"Less than $25,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Cold drinks,Less than $10,4,4,5,4,2,3,4,Social Media,Yes
118,Male,40 and above,Self-employed,"$100,000-$150,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,More than $20,3,3,5,3,2,4,4,Starbucks Website/Apps;Social Media,Yes
119,Male,From 20 to 29,Employed,"More than $150,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Less than $10,5,5,5,5,5,5,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
120,Male,From 20 to 29,Student,"Less than $25,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee;Cold drinks,More than $20,3,2,4,3,3,3,4,Social Media;Through friends and word of mouth;In Store displays,No
121,Female,From 20 to 29,Employed,"$100,000-$150,000",Daily,Take away,Below 30 minutes,No,Coffee,Between $15-$20,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth;Billboards,Yes
122,Male,From 20 to 29,Employed,"More than $150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee,More than $20,1,1,5,4,3,3,2,In Store displays,No
123,Female,From 30 to 39,Employed,"$50,000 - $100,000",Monthly,Dine in,Below 30 minutes,Yes,Coffee,Between $10-$15,4,1,3,4,2,1,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",No
124,Male,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Take away,Between 30 minutes to 1 hour,No,Cold drinks;Pastries,Between $15-$20,4,1,4,1,2,4,4,Social Media;In Store displays,No
125,Female,From 20 to 29,Employed,"$50,000 - $100,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,3,3,4,3,4,2,4,In Store displays;Billboards,No
126,Male,From 30 to 39,Employed,"$50,000 - $100,000",Weekly,Never ,Below 30 minutes,Yes,Coffee,Between $10-$15,4,3,5,5,2,5,1,Through friends and word of mouth,Yes
127,Female,From 30 to 39,Student,"$100,000-$150,000",Daily,Take away,Between 2 hours to 3 hours,No,Coffee;Sandwiches,Between $15-$20,2,3,2,2,3,3,3,Starbucks Website/Apps;Social Media,Yes
128,Female,Above 40,Self-Employed,"Less than $25,000",Weekly,Dine in,Below 30 minutes,Yes,Cold drinks,More than $20,2,4,1,5,1,1,2,Social Media,No
129,Female,Above 40,Employed,"$100,000-$150,000",Weekly,Take away,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,3,5,1,3,1,2,5,Starbucks Website/Apps;Social Media,No
130,Female,Above 40,Student,"$50,000 - $100,000",Rarely,Dine in,More than 3 hours,No,Coffee;Cold drinks,More than $20,3,5,4,3,5,1,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
131,Female,Below 20,Employed,"$50,000 - $100,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,5,2,3,3,5,5,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
132,Female,From 30 to 39,Housewife,"More than $150,000",Daily,Dine in,Below 30 minutes,No,Coffee,Between $10-$15,5,1,1,4,1,1,2,Social Media;Through friends and word of mouth,No
133,Male,Below 20,Housewife,"$50,000 - $100,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Less than $10,2,3,3,3,3,3,3,Social Media,No
134,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Never,Take away,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,5,3,4,2,1,1,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
135,Male,Above 40,Employed,"$50,000 - $100,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee;Sandwiches,More than $20,4,3,4,1,2,2,1,Social Media,Yes
136,Female,From 30 to 39,Employed,"More than $150,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,1,4,3,5,4,4,1,Social Media,Yes
137,Male,Below 20,Student,"Less than $25,000",Daily,Take away,Below 30 minutes,No,Coffee,Less than $10,2,5,2,2,5,3,2,Social Media;Through friends and word of mouth;In Store displays,No
